/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:18:10.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:21:21.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:19:30.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:18:26.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:18:34.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:16:50.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:17:14.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:21:05.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:17:06.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:18.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:22:01.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:19:06.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:17:22.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:26.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:42.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:18:18.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:17:46.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:02.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:17:30.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:19:14.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:17:54.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:16:58.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:21:37.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:19:22.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:18:50.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:34.sf,J1604-4833,13:38:28.000-64:25:20.20
